epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.95793,0.5309,2.61611,0.88917,1,0.23963,0.36868,0.32145,0.63417,2.83898,0.80714,0.00024,0.00024,0.00024
2,12.8564,0.53505,1.09973,0.84042,1,0.167,0.44599,0.38121,0.57971,2.96505,0.78786,0.00049505,0.00049505,0.00049505
3,16.6871,0.5374,0.94028,0.86379,0.00409,1,0.21324,0.16032,0.66155,3.13066,0.856,0.000744952,0.000744952,0.000744952
4,21.268,0.50478,0.81515,0.85778,1,0.13938,0.51824,0.45603,0.60877,2.8932,0.83974,0.000989706,0.000989706,0.000989706
5,25.3638,0.52991,0.82414,0.85967,0.92871,0.48255,0.75052,0.65035,0.61214,2.55242,0.83284,0.00122931,0.00122931,0.00122931
6,29.0534,0.50399,0.7787,0.86968,1,0.63699,0.92366,0.78303,0.6193,2.12855,0.89081,0.00146377,0.00146377,0.00146377
7,32.8368,0.51523,0.74702,0.86546,0.98849,0.88889,0.96103,0.83827,0.58537,1.53471,0.83118,0.00169308,0.00169308,0.00169308
8,37.9807,0.54551,0.68216,0.87124,0.95968,1,0.97286,0.79481,0.63757,0.92187,0.83223,0.0018614,0.0018614,0.0018614
9,41.5631,0.52825,0.67508,0.86631,0.93099,0.99929,0.9844,0.85976,0.51289,0.80586,0.85221,0.0018416,0.0018416,0.0018416
10,45.2326,0.52168,0.65898,0.87375,0.98792,0.96296,0.99293,0.84134,0.57025,0.82846,0.83421,0.0018218,0.0018218,0.0018218
11,50.0915,0.4886,0.62088,0.85859,0.99582,0.96296,0.99393,0.8814,0.47675,0.73944,0.797,0.001802,0.001802,0.001802
12,53.7141,0.44385,0.56374,0.83913,1,0.99789,0.995,0.8927,0.45733,0.6417,0.79524,0.0017822,0.0017822,0.0017822
13,57.428,0.44495,0.56929,0.85104,1,0.99956,0.995,0.89872,0.4301,0.53187,0.79447,0.0017624,0.0017624,0.0017624
14,61.6362,0.45122,0.53435,0.85531,0.9985,1,0.995,0.92321,0.4574,0.68965,0.8009,0.0017426,0.0017426,0.0017426
15,66.4078,0.45466,0.5519,0.86462,1,0.99325,0.995,0.90881,0.46558,0.5804,0.79539,0.0017228,0.0017228,0.0017228
16,70.0406,0.45938,0.51729,0.85846,0.99166,1,0.995,0.91231,0.4569,0.67385,0.79007,0.001703,0.001703,0.001703
17,73.6195,0.48016,0.52969,0.85171,0.9975,1,0.995,0.90748,0.42607,0.46643,0.79441,0.0016832,0.0016832,0.0016832
18,78.6521,0.46136,0.50201,0.87392,0.99716,1,0.995,0.91118,0.41369,0.43354,0.79802,0.0016634,0.0016634,0.0016634
19,82.2665,0.41701,0.46914,0.86208,0.99795,1,0.995,0.90524,0.41853,0.45086,0.80298,0.0016436,0.0016436,0.0016436
20,85.9844,0.44174,0.45575,0.8757,0.98085,1,0.995,0.90869,0.41713,0.46025,0.81046,0.0016238,0.0016238,0.0016238
21,90,0.39946,0.45994,0.85091,0.99246,1,0.995,0.92577,0.40531,0.43419,0.79721,0.001604,0.001604,0.001604
22,94.8568,0.42161,0.44272,0.84855,0.99344,1,0.995,0.92547,0.39508,0.40713,0.79052,0.0015842,0.0015842,0.0015842
23,98.5053,0.43182,0.45679,0.83874,0.99828,1,0.995,0.92131,0.42706,0.3806,0.79874,0.0015644,0.0015644,0.0015644
24,102.066,0.42729,0.43046,0.84455,0.99533,1,0.995,0.93707,0.41365,0.55488,0.79947,0.0015446,0.0015446,0.0015446
25,107.153,0.39797,0.42914,0.85359,0.99567,1,0.995,0.94884,0.348,0.38198,0.78211,0.0015248,0.0015248,0.0015248
26,110.818,0.40147,0.40521,0.85098,0.995,1,0.995,0.94023,0.35119,0.35619,0.7831,0.001505,0.001505,0.001505
27,114.477,0.38476,0.41488,0.83744,0.99688,1,0.995,0.93324,0.35016,0.3424,0.78345,0.0014852,0.0014852,0.0014852
28,118.555,0.37986,0.38319,0.8381,0.99762,1,0.995,0.95206,0.34618,0.32095,0.78074,0.0014654,0.0014654,0.0014654
29,123.107,0.37057,0.37305,0.82194,0.99691,0.96296,0.99393,0.93034,0.35833,0.36927,0.78405,0.0014456,0.0014456,0.0014456
30,126.932,0.40122,0.39044,0.84324,0.9877,1,0.995,0.9453,0.34133,0.40215,0.78679,0.0014258,0.0014258,0.0014258
31,130.269,0.39508,0.38642,0.83558,0.99311,1,0.995,0.96068,0.35866,0.33874,0.78503,0.001406,0.001406,0.001406
32,135.496,0.42323,0.3824,0.87084,0.99095,1,0.995,0.95386,0.33456,0.34378,0.78693,0.0013862,0.0013862,0.0013862
33,139.595,0.37309,0.36451,0.84217,0.94903,1,0.995,0.92466,0.37351,0.3677,0.82032,0.0013664,0.0013664,0.0013664
34,142.782,0.3753,0.36781,0.8346,0.98524,1,0.995,0.94083,0.3599,0.35236,0.8157,0.0013466,0.0013466,0.0013466
35,147.379,0.35848,0.35145,0.83481,0.96081,1,0.99393,0.9327,0.30844,0.35134,0.81485,0.0013268,0.0013268,0.0013268
